,Time,Latitude,Longitude,Magnitude,Epicenter,Remarks,YYYY,MM,DD,Date
0,04:08,28.43,83.99,4.0,Kaski,NEMRC/DMG,2023,07,19,07/19/2023
1,05:32,29.75,81.78,4.6,Humla,NEMRC/SC/DMG,2023,07,13,07/13/2023
2,00:10,28.15,84.54,4.0,Lamjung,NEMRC/DMG,2023,06,23,06/23/2023
3,23:10,29.78,80.92,4.0,Darchula,NEMRC/SC/DMG,2023,06,19,06/19/2023
4,01:53,29.72,81.61,4.4,Bajura,NEMRC/SC/DMG,2023,06,12,06/12/2023
5,22:21,29.66,81.61,4.5,Bajhang,NEMRC/SC/DMG,2023,05,23,05/23/2023
6,13:09,29.68,81.61,4.1,Bajura,NEMRC/SC/DMG,2023,05,22,05/22/2023
7,21:14,28.62,82.84,4.1,RUKUM EAST,NEMRC/SC/DMG,2023,05,20,05/20/2023
8,23:30,29.73,81.62,4.3,Bajura,NEMRC/SC/DMG,2023,05,10,05/10/2023
9,07:32,29.78,81.58,4.1,Bajura,NEMRC/SC/DMG,2023,05,04,05/04/2023
10,08:50,29.89,81.93,4.0,Humla,NEMRC/SC/DMG,2023,05,01,05/01/2023
11,03:40,29.74,81.63,4.1,Bajura,NEMRC/SC/DMG,2023,04,28,04/28/2023
12,19:45,29.78,81.61,5.9,Bajura,NEMRC/SC/DMG,2023,04,27,04/27/2023
13,18:13,29.75,81.56,4.9,Bajura,NEMRC/SC/DMG,2023,04,27,04/27/2023
14,07:27,29.38,81.34,4.1,Bajura,NEMRC/SC/DMG,2023,04,23,04/23/2023
15,13:05,28.17,84.74,4.1,Gorkha,NEMRC/DMG,2023,04,11,04/11/2023
16,05:42,27.76,86.19,5.2,Dolakha,NEMRC/DMG,2023,04,01,04/01/2023
17,21:34,28.12,84.9,4.1,Gorkha,NEMRC/DMG,2023,03,31,03/31/2023
18,17:56,27.86,87.89,4.6,Taplejung,NEMRC/DMG,2023,03,28,03/28/2023
19,16:42,29.42,81.66,4.3,Bajura,NEMRC/SC/DMG,2023,03,26,03/26/2023
20,04:06,29.64,81.89,4.5,Mugu,NEMRC/SC/DMG,2023,03,24,03/24/2023
