	Time	Latitude	Longitude	Magnitude	Epicenter	Remarks	YYYY	MM	DD
0	04:08	28.43	83.99	4.0	Kaski	NEMRC/DMG	2023.0	7.0	19.0
1	05:32	29.75	81.78	4.6	Humla	NEMRC/SC/DMG	2023.0	7.0	13.0
2	00:10	28.15	84.54	4.0	Lamjung	NEMRC/DMG	2023.0	6.0	23.0
3	23:10	29.78	80.92	4.0	Darchula	NEMRC/SC/DMG	2023.0	6.0	19.0
4	01:53	29.72	81.61	4.4	Bajura	NEMRC/SC/DMG	2023.0	6.0	12.0
5	22:21	29.66	81.61	4.5	Bajhang	NEMRC/SC/DMG	2023.0	5.0	23.0
6	13:09	29.68	81.61	4.1	Bajura	NEMRC/SC/DMG	2023.0	5.0	22.0
7	21:14	28.62	82.84	4.1	RUKUM EAST	NEMRC/SC/DMG	2023.0	5.0	20.0
8	23:30	29.73	81.62	4.3	Bajura	NEMRC/SC/DMG	2023.0	5.0	10.0
9	07:32	29.78	81.58	4.1	Bajura	NEMRC/SC/DMG	2023.0	5.0	4.0
10	08:50	29.89	81.93	4.0	Humla	NEMRC/SC/DMG	2023.0	5.0	1.0
11	03:40	29.74	81.63	4.1	Bajura	NEMRC/SC/DMG	2023.0	4.0	28.0
12	19:45	29.78	81.61	5.9	Bajura	NEMRC/SC/DMG	2023.0	4.0	27.0
13	18:13	29.75	81.56	4.9	Bajura	NEMRC/SC/DMG	2023.0	4.0	27.0
14	07:27	29.38	81.34	4.1	Bajura	NEMRC/SC/DMG	2023.0	4.0	23.0
15	13:05	28.17	84.74	4.1	Gorkha	NEMRC/DMG	2023.0	4.0	11.0
16	05:42	27.76	86.19	5.2	Dolakha	NEMRC/DMG	2023.0	4.0	1.0
17	21:34	28.12	84.9	4.1	Gorkha	NEMRC/DMG	2023.0	3.0	31.0
18	17:56	27.86	87.89	4.6	Taplejung	NEMRC/DMG	2023.0	3.0	28.0
19	16:42	29.42	81.66	4.3	Bajura	NEMRC/SC/DMG	2023.0	3.0	26.0
20	04:06	29.64	81.89	4.5	Mugu	NEMRC/SC/DMG	2023.0	3.0	24.0
21	13:11	28.95	81.68	4.1	Dailekh	NEMRC/SC/DMG	2023.0	3.0	13.0
22	02:50	29.29	81.4	4.4	Achham	NEMRC/SC/DMG	2023.0	3.0	5.0
23	02:18	27.57	85.59	4.3	Kavrepalanchok	NEMRC/DMG	2023.0	3.0	5.0
24	11:57	27.82	88.02	4.0	Taplejung	NEMRC/DMG	2023.0	3.0	1.0
25	04:18	27.08	87.96	4.3	Illam	NEMRC/DMG	2023.0	2.0	28.0
26	08:00	29.68	81.67	5.2	Bajura	NEMRC/SC	2023.0	2.0	22.0
27	22:45	27.83	87.95	4.8	Taplejung	NEMRC/DMG	2023.0	2.0	12.0
28	03:07	28.8	82.53	4.2	Rukum	NEMRC/SC/DMG	2023.0	2.0	10.0
29	05:59	29.71	81.62	4.0	Bajura	SC/NEMRC	2023.0	2.0	1.0
30	18:39	27.42	87.47	4.0	Taplejung	NEMRC/DMG	2023.0	1.0	31.0
31	19:22	29.64	81.68	4.1	Bajura	NEMRC/SC	2023.0	1.0	25.0
32	08:58	29.75	81.7	5.9	Bajura	NEMRC/SC/DMG	2023.0	1.0	24.0
33	22:53	27.8	85.81	4.2	Sindhupalchok	NEMRC/DMG	2023.0	1.0	21.0
34	21:43	28.45	83.09	4.0	Baglung	NEMRC/DMG	2022.0	12.0	27.0
35	20:22	28.36	83.19	5.3	Baglung	NEMRC/DMG	2022.0	12.0	27.0
36	19:38	28.45	83.14	4.7	Baglung	NEMRC/DMG	2022.0	12.0	27.0
37	01:30	29.1	83.3	4.6	Dolpa	NEMRC/SC/DMG	2022.0	12.0	23.0
38	19:15	30.0	80.74	4.1	Darchula	NEMRC/SC/DMG	2022.0	12.0	21.0
39	17:08	28.26	85.06	4.5	Dhading	NEMRC/DMG	2022.0	12.0	18.0
40	05:00	26.93	87.26	4.0	Dhankuta	NEMRC/DMG	2022.0	11.0	28.0
41	12:23	29.35	81.21	4.2	Achham	SC/NEMRC/DMG	2022.0	11.0	15.0
42	14:27	29.45	81.19	5.4	Bajhang	NEMRC/SC	2022.0	11.0	12.0
43	23:28	29.35	81.29	4.1	Bajura	NEMRC/SC/DMG	2022.0	11.0	9.0
44	20:27	29.38	81.13	6.6	Doti	NEMRC/SC/DMG	2022.0	11.0	8.0
45	16:11	29.38	81.11	4.1	Doti	NEMRC/SC	2022.0	11.0	8.0
46	15:22	29.38	81.11	5.7	Doti	NEMRS/SC	2022.0	11.0	8.0
47	03:41	29.6	81.04	4.6	Bajhang	NEMRC/SC	2022.0	10.0	30.0
48	10:08	28.07	86.02	4.5	Sindhupalchok/Tibet	NEMRC	2022.0	10.0	19.0
49	09:22	28.15	86.06	5.9	Sindhupalchok/Tibet	NEMRC	2022.0	10.0	19.0
50	19:43	28.24	81.77	4.8	Banke	NEMRC	2022.0	8.0	19.0
51	16:58	27.97	85.54	4.2	Sindhupalchok	NERMC	2022.0	8.0	18.0
52	23:41	27.83	85.15	5.3	Nuwakot	NEMRC/SC	2022.0	8.0	5.0
